[-186.13062584427334, -87.12190806645502]
[-2.769204640436305, -2.635351768764142]
[-0.2478564510551564, 0.14822944936382498]
[0.15505401826209386, -0.18012468173336416]
[0.3485826916600878, 0.39301300094830083]
[-0.20935785967339537, -0.01128869579791214]
[-1.7554048774001476, -1.8067860967502334]
[0.3402945926605607, 0.1507538412866083]
[-0.18638507002719784, -0.06150604030482931]
[-0.7297867799076041, -0.7229656782574079]
[-0.06108215478651413, 0.13727114916355454]
[-0.18868112536077675, -0.07783805079912653]
[-0.051149625601728976, 0.08921123428252464]
[0.0457085605473555, -0.08126640940562857]
[-0.19060278292523725, -0.09348095090191144]
[-0.05884504967403403, -0.02203183685711857]
[0.009880918925121218, -0.02416341164018565]
[-0.06826217406119445, -0.02437658372496443]
[-0.06376066944204872, 0.024755051337364165]
[-0.0033340167784343677, 0.004736188182332679]
[0.015803161553006984, -0.01987936527363697]
[-0.00518458258184018, -0.018348459598065858]
[-0.04373555533893958, -0.12103707653699303]
[0.030344407651321986, 0.02708108852728941]
[-0.05868960942259571, -0.03501825126794156]
[-0.07732005688179333, -0.04314039125917546]
[-0.015033822187694224, -0.0014665038393948393]
[-0.05119889243897413, -0.04565627166088326]
[0.0014257484881535776, 0.020048452927767357]
[-0.010796159986325549, -0.018520359924923513]
[-0.0361343035023628, -0.008967288680822527]
[-0.003681116274213636, -0.002146047816155683]
[-0.01355111916196039, -0.00544338936087807]
[-0.01867426516381232, -0.009179649056782216]
[-0.0177148542107326, -0.0029063190059117616]
[-0.0014033544648848761, -0.0033706251864598635]
[0.001563876706834999, 0.008353195339582245]
[-0.006784379469479407, -0.00882276505990176]
[0.00035284218695386116, -0.03338435306147092]
[0.016343670632077978, 0.005531211428075444]
[-0.019757105146902987, -0.02218699168818672]
[-0.018220504781032043, -0.0021111336989458884]
[-0.011372582860601277, -0.007574202771098548]
[-0.02563467422804333, -0.017766263387478]
[0.0013751147083986837, 0.007979142463183653]
[-0.012639761466297195, -0.011135860419275279]
[-0.012108857253988553, -0.0018145760426175883]
[-0.0003928248878954932, -0.001075175866491529]
[-0.010835700145219174, -0.0009849625580953258]
[-0.00836177349697631, -0.0030219542274620703]
[-0.00909978874904871, -0.005488680934526036]
[-0.00019863310297824066, -0.0038816102039689188]
[-0.0035949265822763365, 0.006792355767524821]
[-0.005746153165293699, -0.005251313400276292]
[0.005000424895913014, -0.009542531135028912]
[0.008035040036161956, -0.0016561628374156534]
[-0.005795007334429059, -0.013103047395379097]
[-0.002394290109602293, 0.003059527658407557]
[-0.007894671292565603, -0.008315711508778634]
[-0.01310846561187018, -0.006085874237895528]
[-0.00043445980262113437, 0.0031915944749927316]
[-0.011432258353878177, -0.006969887294820953]
[-0.0040368995130311, -0.0005335203524148291]
[-0.0009209142699053707, -0.0017153996421035433]
[-0.007954291109772138, 0.0003482331825175322]
[-0.004684862359790154, -0.00026581730608066234]
[-0.005627599399269045, -0.004785967390654733]
[-1.0497800816522407e-05, -0.0031464250301400966]
[-0.005259408037888047, 0.0030348091566122504]
[-0.004057338266960087, -0.0031937751851962015]
[0.0033214871805603285, -0.0013369751119981926]
[0.0027880461455687122, -0.004011278150592157]
[-9.530172947835869e-05, -0.006560923976822751]
[0.0020899114975038158, 0.00199070905708687]
[-0.0044861472013615344, -0.007356921536878808]
[-0.005520424224002979, -0.0012126874166191737]
[-0.0018154342747145336, 0.0005917205309970974]
[-0.009205827995057203, -0.0036735138807357792]
[-0.0007761479441432684, -0.00026383648749228605]
[-0.0018777146693217395, -0.0022461153319597305]
[-0.005530554755785011, 0.0005750088102862705]
[-0.002918006434569964, 0.0008323758471814324]
[-0.0037575494886541716, -0.003410327208033692]
