[-226.30720353011577, -147.5531894040386]
[-2.227152476204438, -30.506178003540057]
[-1.05752521301536, -6.890233694654597]
[-0.15547410458095, 0.22053807117114038]
[0.2766519654996973, -0.2161681647843574]
[-0.05532911577133248, -0.6694297333473251]
[-0.011916241249821269, 0.20383194502814916]
[-0.011845116329438632, 0.02739584264665179]
[0.04211159378622176, -0.02630504621889307]
[-0.012514288842920607, -0.12468681888477917]
[-0.0030968184570348, 0.06333229216541092]
[-0.0012634977650307633, 0.007978670315143543]
[0.01469455057970026, -0.007495115605407832]
[-0.0050977435461723175, -0.042277741501319355]
[-0.0016437295341917846, 0.025911990126513018]
[0.0004117717330798243, 0.0032705652873796787]
[0.00712690221750456, -0.002999544155445233]
[-0.0027011848014275586, -0.01902903584503335]
[-0.0010622778992939175, 0.012848023881559811]
[0.0006922478403867949, 0.0016068328403385235]
[0.004119118124603527, -0.001434183270999756]
[-0.0016562224750300558, -0.010097609975116661]
[-0.0007491790449734026, 0.007220653954577827]
[0.0006773489271132416, 0.0008798799490541409]
[0.0026525393566091404, -0.0007606655949995433]
[-0.0011130711053115583, -0.005965021277734017]
[-0.0005567491102302924, 0.00442468323408729]
[0.0005993365643184312, 0.0005158521710067476]
[0.0018372912835213917, -0.00042885632912181837]
[-0.0007962948379942603, -0.003798996614393424]
[-0.00042899700556198184, 0.0028870996594339005]
[0.0005160491285329805, 0.00031548827760696785]
[0.001340842909843265, -0.0002494022160635101]
[-0.0005959321196309375, -0.0025574897155520304]
[-0.0003395885539720922, 0.0019752507102470673]
[0.000441884426579886, 0.0001973433957163928]
[0.0010175677436758956, -0.0001455917100701143]
[-0.00046134578627898826, -0.0017963531468869753]
[-0.0002745020429291145, 0.0014020950885393901]
[0.0003792159690245711, 0.00012397334134303661]
[0.0007959753009585402, -8.247362849878037e-05]
[-0.0003666568941160797, -0.0013045920621457263]
[-0.00022563255635299484, 0.0010248214299495295]
[0.0003270918774878062, 7.655962306885034e-05]
[0.0006378042889438884, -4.264387201269315e-05]
[-0.00029754568460527153, -0.0009732447114552123]
[-0.00018800614705805074, 0.0007670174085241399]
[0.00028383165990986114, 4.4960333738214286e-05]
[0.0005211438937821056, -1.6811455951337706e-05]
[-0.00024557629215982146, -0.0007421814739485555]
[-0.00015842513875830022, 0.0005853213659121614]
[0.00024780198899199135, 2.3393420887640737e-05]
[0.0004327439730208438, 2.6883537074251507e-07]
[-0.0002055208452673707, -0.0005763780126231133]
[-0.0001347551038515249, 0.00045390296791403273]
[0.00021761689542243445, 8.406441343727922e-06]
[0.00036422438723682227, 1.1697187924153418e-05]
[-0.00017400116670129862, -0.0004544967632784669]
[-0.00011552613204379725, 0.0003567353084972247]
[0.00019215553009743758, -2.14328058467661e-06]
[0.00031008235144147633, 1.9377366899275827e-05]
[-0.00014875632074784484, -0.0003630364316324908]
[-9.969876449300585e-05, 0.0002835232226794382]
[0.00017052749034696113, -9.62980812291292e-06]
[0.0002665874099146426, 2.451676372006162e-05]
[-0.0001282271943816582, -0.0002931726180293026]
[-8.652096491856831e-05, 0.0002274528236614337]
[0.00015202888687082527, -1.4959372198558585e-05]
[0.00023114029337129027, 2.7902466087526e-05]
[-0.00011131058344715505, -0.00023897362499036845]
[-7.543769950513202e-05, 0.0001838954789441516]
[0.0001361025532924387, -1.8744327649922177e-05]
[0.0002018862214760997, 3.0059830951278954e-05]
[-9.720816930514076e-05, -0.00019635324385269826]
[-6.603207907485142e-05, 0.00014963433857828612]
[0.0001223055278247731, -2.1407287399827224e-05]
[0.0001774737011644434, 3.134674571225737e-05]
[-8.533076112804405e-05, -0.00016243509142155332]
[-5.798605481888153e-05, 0.00012238806773123834]
[0.00011028355810460688, -2.3245367260588123e-05]
[0.00015689958703218876, 3.2011364974326995e-05]
[-7.523585713209435e-05, -0.00013515518415041505]
[-5.10535742663798e-05, 0.00010050936921079945]
[9.975145657237228e-05, -2.4470889423505726e-05]
[0.0001394069354499483, 3.222842121064495e-05]
[-6.658591111730061e-05, -0.00011300686476745092]
[-4.504187548026728e-05, 8.278939759676085e-05]
[9.047805481654514e-05, -2.52377874015719e-05]
[0.00012441609046565105, 3.212260128127031e-05]
[-5.9119817127140095e-05, -9.487321849199759e-05]
[-3.9798215888176e-05, 6.832804464829145e-05]
[8.227468214161426e-05, -2.5659100891972653e-05]
[0.00011147721883611461, 3.1783913447602785e-05]
[-5.26330373589734e-05, -7.9914632489686e-05]
[-3.52003028170067e-05, 5.6446186087022454e-05]
[7.49863167479603e-05, -2.5818788832260298e-05]
[0.00010023700456562867, 3.127798039992413e-05]
[-4.696350466737442e-05, -6.749190828725382e-05]
[-3.114929060266114e-05, 4.662523856002743e-05]
[6.848475630705231e-05, -2.5779844329276713e-05]
[9.041488120153929e-05, 3.065305027005749e-05]
[-4.198145944322995e-05, -5.71127722654996e-05]
